serviceName,startTime,avg_time,num,succee_num,succee_rate
osb_001,1590076800000,1.2911,340,340,1.0
osb_001,1590076860000,0.5829,303,303,1.0
osb_001,1590076920000,0.7124,331,331,1.0
osb_001,1590076980000,0.7457,382,382,1.0
osb_001,1590077040000,0.727,370,370,1.0
osb_001,1590077100000,0.662,359,359,1.0
osb_001,1590077160000,0.7325,322,322,1.0
osb_001,1590077220000,0.765,405,380,0.9383
osb_001,1590077280000,0.0,355,0,0.0
osb_001,1590077340000,0.0,359,0,0.0
osb_001,1590077400000,0.0,388,0,0.0
osb_001,1590077460000,0.0,385,0,0.0
osb_001,1590077520000,1.1762,421,203,0.4822
osb_001,1590077580000,0.7605,436,436,1.0
osb_001,1590077640000,0.9291,400,400,1.0
osb_001,1590077700000,0.7016,391,391,1.0
osb_001,1590077760000,0.9619,419,419,1.0
osb_001,1590077820000,0.7381,421,421,1.0
osb_001,1590077880000,0.6553,397,397,1.0
osb_001,1590077940000,0.696,415,415,1.0
osb_001,1590078000000,0.7019,443,443,1.0
osb_001,1590078060000,0.8075,437,437,1.0
osb_001,1590078120000,0.9783,338,338,1.0
osb_001,1590078180000,0.8005,451,451,1.0
osb_001,1590078240000,0.6734,447,447,1.0
osb_001,1590078300000,0.7906,483,483,1.0
osb_001,1590078360000,0.7279,471,471,1.0
osb_001,1590078420000,0.7463,501,501,1.0
osb_001,1590078480000,0.6525,438,438,1.0
osb_001,1590078480000,0.0,1,0,0.0
osb_001,1590078540000,0.7004,446,446,1.0
osb_001,1590078600000,1.3967,412,412,1.0
osb_001,1590078660000,0.717,456,456,1.0
osb_001,1590078720000,1.715,365,365,1.0
osb_001,1590078780000,0.728,454,454,1.0
osb_001,1590078840000,0.7012,461,461,1.0
osb_001,1590078900000,0.733,432,432,1.0
osb_001,1590078960000,0.7559,516,516,1.0
osb_001,1590079020000,0.7004,475,475,1.0
osb_001,1590079080000,0.6979,519,519,1.0
osb_001,1590079140000,0.4519,182,182,1.0
osb_001,1590079140000,93.2014,10,9,0.9
osb_001,1590079200000,1.8825,312,312,1.0
osb_001,1590079260000,0.7207,493,493,1.0
osb_001,1590079320000,0.649,474,474,1.0
osb_001,1590079380000,0.7498,476,476,1.0
osb_001,1590079440000,0.8463,487,487,1.0
osb_001,1590079500000,0.6773,491,491,1.0
osb_001,1590079560000,0.7951,490,490,1.0
osb_001,1590079620000,0.7204,474,474,1.0
osb_001,1590079680000,1.332,546,546,1.0
osb_001,1590079680000,92.091,1,1,1.0
osb_001,1590079740000,4.9687,100,100,1.0
osb_001,1590079740000,21.7659,9,9,1.0
osb_001,1590079800000,5.1272,132,132,1.0
osb_001,1590079860000,5.1641,94,94,1.0
osb_001,1590079860000,32.508,9,9,1.0
osb_001,1590079920000,7.6282,89,86,0.9663
osb_001,1590079980000,4.9066,96,96,1.0
osb_001,1590079980000,32.0986,9,9,1.0
osb_001,1590080040000,1.0849,507,502,0.9901
osb_001,1590080100000,0.7092,506,506,1.0
osb_001,1590080160000,3.8602,191,190,0.9948
osb_001,1590080220000,0.9102,493,493,1.0
osb_001,1590080220000,35.0837,3,3,1.0
osb_001,1590080280000,0.7662,535,535,1.0
osb_001,1590080340000,0.7081,516,516,1.0
osb_001,1590080340000,0.0,1,0,0.0
osb_001,1590080400000,0.832,530,530,1.0
osb_001,1590080460000,0.7215,541,541,1.0
osb_001,1590080520000,0.6986,496,496,1.0
osb_001,1590080580000,0.7938,508,508,1.0
osb_001,1590080640000,0.7922,501,501,1.0
osb_001,1590080700000,0.7949,532,532,1.0
osb_001,1590080760000,0.9733,517,517,1.0
